origen,festivo,laborable
01001,,4.569
01002,6.071,
01004_AM,,5.319
01009_AM,7.734,9.562000000000001
01028_AM,19.881,10.573
01036,9.138,9.210999999999999
01051,2.257,7.140000000000001
01059,169.689,372.324
01063_AM,1.938,11.559999999999999
01901,2.143,16.523
02003,157.696,343.148
02008_AM,,28.234
02009,15.530999999999999,44.730000000000004
02010_AM,,4.274
02012_AM,,26.825
02019_AM,,15.502
02021_AM,,2.147
02024_AM,,2.17
02025,17.594,28.401
02029,2.861,19.341
02030,,3.326
02033_AM,,21.041
02034_AM,3.345,4.507
02035_AM,5.5329999999999995,37.886
02037,10.937999999999999,51.134
02045,,2.204
02053,,17.634
02067_AM,7.841,19.903
02069,6.08,36.85
02073_AM,,10.265
02074,1.217,
02079,10.957,18.591
02081,56.669,217.204
02086_AM,,4.896
02901,9.536,
03002_AM,2.487,
03005_AM,20.761,73.876
03006_AM,,6.594
03009,43.079,40.817
03011,32.732,20.148
03012,3.01,5.6690000000000005
03014,166.124,577.375
03015,10.193000000000001,10.699
03018,23.386,25.548000000000002
03019,11.333,31.713
03021,1.769,3.583
03023_AM,3.689,
03024,,12.562
03028_AM,7.688,7.1530000000000005
03031,61.267,132.685
03034_AM,8.847999999999999,2.963
03035_AM,4.167,2.844
03041,2.175,14.205
03043,,8.802
03044_AM,13.156,9.94
03047,5.664,64.312
03048,5.429,8.056000000000001
03049,9.842,32.058
03050,21.32,24.117
03053,,12.149000000000001
03055,,2.122
03056,5.737,15.265
03058,,40.716
03059,12.158999999999999,28.325
03063,13.897,53.992000000000004
03064,9.681000000000001,11.615
03065,153.521,347.475
03066,28.066,27.8
03069,7.194,12.706
03070,3.372,3.39
03071,,10.114
03074_AM,8.632,5.777
03076,10.836,11.608
03077,,6.011
03079,6.224,44.794
03081,,2.788
03082,2.847,50.548
03083,2.007,12.981000000000002
03088,19.857,23.378
03089,4.986,13.649
03090,9.631,25.232
03092_AM,7.164,8.658
03093,6.0649999999999995,61.861000000000004
03094,10.448,26.139
03095,4.913,4.93
03096,,8.068999999999999
03097_AM,5.148,1.769
03099,48.111,151.784
03101,1.851,2.555
03102,,11.906
03104,11.859,57.785
03105,,9.805
03107,2.975,4.763999999999999
03109,,15.247
03111,4.354,15.768999999999998
03112_AM,,3.729
03113,13.473,21.612
03114,,5.657
03118,,17.603
03119,17.425,16.131999999999998
03120,8.49,2.508
03121,5.474,17.079
03122,45.381,56.136
03123_AM,,18.281
03128,2.708,
03133,40.144,114.267
03139,11.42,55.12
03140,15.475999999999999,67.358
03901,,2.863
03902,6.511,43.041
04003,339.109,589.659
04006,40.841,131.74
04011_AM,16.539,52.551
04013,1779.35,3877.571
04016,59.747,188.09
04017_AM,27.639000000000003,35.49
04024,27.416,79.40700000000001
04029,113.824,132.82
04031,,28.273
04032,57.866,118.233
04035,66.819,239.136
04038,43.1,64.45
04044_AM,15.613,122.461
04045_AM,34.984,57.088
04047_AM,59.17,120.618
04048_AM,9.799,46.343
04049,20.256,79.643
04050_AM,17.253,71.547
04052,226.649,395.133
04053,73.235,211.361
04057_AM,38.403999999999996,67.569
04062_AM,24.981,44.969
04064,49.244,84.138
04066,166.719,340.219
04069,28.909,80.39
04070_AM,47.667,46.109
04074,75.867,70.565
04075,26.372,90.45
04079,958.031,1978.213
04083_AM,9.929,23.433
04086_AM,6.515,21.276
04088_AM,86.748,54.722
04092,7.209,37.02
04093,5.718,22.076999999999998
04098_AM,16.805,50.562
04099,47.431,68.80199999999999
04100,81.077,216.373
04101,297.406,137.696
04102,311.856,598.172
04902,1045.202,2036.343
04903,54.799,209.213
04904,25.902,17.122
05002_AM,3.028,4.603
05013_AM,9.761,2.68
05014_AM,,6.997
05016,23.682,
05019,26.876,150.913
05021_AM,,31.81
05047,6.09,7.732
05054_AM,3.763,
05102_AM,1.96,
05114_AM,,13.148
05163_AM,4.924,2.519
05168_AM,,2.82
05186_AM,,4.336
05204_AM,,17.154
05220_AM,2.967,
05238_AM,,4.475
05240_AM,4.868,4.6259999999999994
05241_AM,3.064,5.337
05242_AM,,10.0
06002,49.623000000000005,149.173
06005_AM,51.298,115.765
06006,12.536999999999999,39.365
06011,820.672,1618.054
06012_AM,146.525,210.018
06014,551.504,1106.741
06015,1192.819,3102.529
06016_AM,72.554,125.87700000000001
06019_AM,394.369,610.432
06020_AM,178.034,338.17900000000003
06022,35.995,163.144
06023,19.397,44.451
06025,68.509,135.473
06028,42.285,57.683
06033_AM,34.238,26.857
06036_AM,71.297,135.66
06039_AM,27.093,69.72
06044_AM,319.363,788.774
06050,188.108,240.686
06051_AM,3.278,18.377000000000002
06052_AM,465.508,1115.386
06054,128.564,186.871
06055_AM,756.743,843.785
06058_AM,39.15,99.238
06059_AM,202.675,333.469
06060_AM,119.897,351.763
06063,16.761,23.237
06066_AM,22.384999999999998,29.212
06067_AM,180.727,350.817
06069_AM,202.41,176.818
06070_AM,243.255,626.251
06072,36.427,108.945
06074_AM,845.023,2314.404
06080_AM,31.292,58.262
06083,1106.173,2716.187
06085_AM,1725.547,3093.868
06087_AM,53.424,49.092
06088,156.739,249.46
06091,21.191,27.474
06093_AM,69.28,93.522
06094_AM,51.501,111.37
06095,108.25,159.784
06097_AM,31.266000000000002,49.499
06103,55.028999999999996,101.966
06108,132.804,265.416
06109,20.356,98.744
06113_AM,144.085,134.11
06117_AM,62.938,146.232
06120,32.032,72.48
06121,98.043,108.648
06122,177.369,404.053
06123_AM,31.809,46.400999999999996
06125_AM,13.469,17.758
06126_AM,21.873,54.897
06127,31.331,11.308
06128,31.102,107.856
06135_AM,26.712,91.706
06141_AM,215.515,472.722
06143,42.715,63.112
06149,408.883,753.682
06153,234.079,518.158
06154,23.555,32.814
06155_AM,55.807,113.219
06158,824.167,1347.072
06159,4.711,46.967
06160_AM,58.534,77.797
06162,46.514,99.571
06901,10.488,55.266
06903_AM,34.586,65.608
07001,3.064,23.716
07002,,10.481
07003,8.016,60.951
07004,8.828,2.85
07005,14.324,27.811
07006,3.007,16.582
07008,,3.167
07010,6.436,21.296
07011,61.552,145.456
07012_AM,,7.384
07013,4.747999999999999,13.517
07014,3.7540000000000004,6.662999999999999
07015,6.895,8.184
07016,4.335,1.798
07020,,15.572
07022,44.228,21.63
07023_AM,5.011,2.9
07024,,10.814
07026,36.803,264.659
07027,13.233,45.202
07028_AM,,7.605
07030_AM,,2.582
07031,42.515,114.498
07032,7.949999999999999,22.787
07033,35.362,90.306
07036,15.908999999999999,95.902
07037,3.763,3.574
07038_AM,5.503,1.805
07039,7.048,15.61
07040,570.57,1199.995
07041_AM,,8.266
07042,12.065,26.107
07044,6.167999999999999,14.372
07045_AM,7.223,14.440999999999999
07046,35.694,123.89500000000001
07047_AM,12.918000000000001,20.467
07048,31.935000000000002,151.382
07050,6.024,27.48
07051,4.391,5.537
07052,,5.051
07054,47.912,160.992
07055,7.853000000000001,58.233000000000004
07056,20.639,2.551
07057,17.997,22.124
07058_AM,13.198,11.647
07059,,19.539
07061,5.925,39.516
07062,10.55,13.96
07064,,17.698
07065,6.848,
08001,18.278,9.299
08003,2.408,
08005,,5.659
08006,3.412,10.817
08007,5.632,
08009,5.804,10.675
08010_AM,,2.017
08011_AM,,1.673
08015,48.443,185.127
08017,2.9,
08018_AM,1.625,2.212
08019,1306.868,3164.3
08020,,12.35
08023,3.332,
08029,2.299,1.966
08030,,4.894
08031,,3.544
08032,,2.203
08033,3.3600000000000003,20.573
08035,2.618,30.564
08038_AM,,3.862
08040,5.002,
08041,3.499,34.038
08042,,1.816
08043,,5.098
08044_AM,,10.379
08046,4.396,23.041
08047_AM,,4.385
08051,13.282,11.309999999999999
08053,5.615,
08054,17.259999999999998,36.816
08056,46.796,84.109
08067,5.66,6.751
08068,2.177,6.8100000000000005
08069,,8.4
08072,8.309000000000001,7.52
08073,58.505,131.475
08074,,6.093999999999999
08075,,21.078
08076,8.074,19.991
08077,31.169,49.444
08085_AM,7.414999999999999,3.443
08086,7.684,11.674999999999999
08088,3.735,8.402000000000001
08089,10.953,61.789
08091_AM,5.342,35.695
08092,,3.23
08094_AM,4.162,4.07
08096,33.219,48.886
08097_AM,,13.893
08100,,9.949
08101,80.551,252.013
08102,3.575,12.922
08105,10.399000000000001,2.412
08106,,17.53
08107,9.132,6.622
08108,2.165,6.484
08110,,9.757
08112,,28.421
08113,12.858,33.756
08114,9.1,39.368
08115_AM,4.552,6.3629999999999995
08118,2.147,25.325
08119,1.737,1.424
08120,4.743,
08121,47.589,67.25
08122_AM,,11.4
08123,6.7219999999999995,16.240000000000002
08124,3.745,41.245
08125,10.236,51.809
08126,7.385,4.748
08127_AM,2.524,2.645
08135,,15.35
08136,,17.509
08140,,21.698999999999998
08141,,3.018
08145_AM,,15.661000000000001
08147,3.653,21.826999999999998
08148,11.486,
08149_AM,,4.923
08155,,3.63
08156,,4.498
