origen,destino,tipo_dia,viajes
41091,41091,laborable,9110953.891
29067,29067,laborable,8627937.324
41091,41091,festivo,2864232.944
29067,29067,festivo,2688448.703
29069,29069,laborable,2137116.125
41038,41038,laborable,1447326.827
29094,29094,laborable,953652.464
29051,29051,laborable,876622.935
29025,29025,laborable,680248.753
29069,29069,festivo,665689.531
29901,29901,laborable,641169.386
29054,29054,laborable,641005.617
29070,29070,laborable,636853.259
29015_AM,29015_AM,laborable,632320.349
41004,41004,laborable,602840.806
41095,41095,laborable,573971.881
41039,41039,laborable,492225.128
41038,41038,festivo,489792.2
29054,29070,laborable,425683.833
29070,29054,laborable,424655.759
29084,29084,laborable,414773.059
29082_AM,29082_AM,laborable,412659.423
29007,29007,laborable,390349.142
41038,41091,laborable,361221.775
41091,41038,laborable,359354.493
41069,41069,laborable,342078.149
29094,29094,festivo,325773.853
29051,29051,festivo,289899.511
41091,41004,laborable,263114.072
41004,41091,laborable,261384.724
41065_AM,41065_AM,laborable,255191.77
41053,41053,laborable,247875.436
41081,41081,laborable,237883.639
29025,29025,festivo,235553.856
29901,29067,laborable,233602.658
29067,29901,laborable,233585.202
41059,41059,laborable,231611.478
29067,29007,laborable,230581.96
29007,29067,laborable,230180.679
29901,29901,festivo,227184.75
29054,29054,festivo,226173.463
41024,41024,laborable,226143.906
29070,29070,festivo,211485.491
41068,41068,laborable,210549.818
41004,41004,festivo,197783.235
29015_AM,29015_AM,festivo,193888.072
41095,41095,festivo,189507.338
29075,29075,laborable,188914.209
29038,29038,laborable,185462.871
29008,29008,laborable,172531.153
29082_AM,29067,laborable,161679.418
41038,41004,laborable,160659.544
29067,29082_AM,laborable,160637.912
41004,41038,laborable,159060.639
29901,29025,laborable,158523.812
29025,29901,laborable,156989.78
41039,41039,festivo,156332.07
41081,41091,laborable,150472.835
41091,41021,laborable,150411.555
41091,41081,laborable,149026.686
29042,29042,laborable,148754.259
41021,41091,laborable,148318.933
41034,41034,laborable,146978.266
29082_AM,29082_AM,festivo,145889.253
29054,29070,festivo,142086.306
29070,29054,festivo,140636.081
29091,29091,laborable,137296.407
29007,29007,festivo,132255.727
29084,29084,festivo,131243.848
41021,41021,laborable,130035.729
41058,41058,laborable,129090.518
29069,29051,laborable,126560.122
29051,29069,laborable,126441.32
41020,41020,laborable,124479.649
41069,41069,festivo,122486.102
41011,41011,laborable,118078.579
29025,29067,laborable,117000.973
29067,29025,laborable,113695.683
41060,41060,laborable,111374.012
41041_AM,41041_AM,laborable,108929.188
29023,29069,laborable,105796.212
29069,29023,laborable,105459.094
41059,41091,laborable,102506.259
41091,41059,laborable,100816.515
29067,29038,laborable,98344.233
29038,29067,laborable,98336.66
41091,41038,festivo,93785.014
41093,41093,laborable,93112.46
41038,41091,festivo,92681.99
41055,41055,laborable,91420.671
41091,41093,laborable,85806.388
41093,41091,laborable,85040.03
29070,29069,laborable,84367.532
41053,41053,festivo,84032.413
41065_AM,41065_AM,festivo,83687.292
29069,29070,laborable,83628.082
29042,29008,laborable,83337.11
29008,29042,laborable,83141.698
29068,29068,laborable,82768.115
29067,29007,festivo,81833.125
29007,29067,festivo,81326.149
41024,41024,festivo,79961.776
41081,41081,festivo,79076.853
41005,41005,laborable,78543.77
41075,41075,laborable,76651.333
29067,29901,festivo,75947.656
41059,41059,festivo,75556.853
29901,29067,festivo,75084.407
41091,41086,laborable,71974.693
41086,41091,laborable,70818.228
