municipio,pct_dependencia
03023_AM,100.0
01002,100.0
03002_AM,100.0
02024_AM,100.0
02074,100.0
31068_AM,100.0
31086,100.0
31098,100.0
31122,100.0
FRJ28,100.0
31060,100.0
08278_AM,100.0
08223,100.0
08220_AM,100.0
08204,100.0
08203,100.0
48096,100.0
48095_AM,100.0
48086_AM,100.0
48081_AM,100.0
09410,100.0
09330_AM,100.0
09321_AM,100.0
09289_AM,100.0
50025,100.0
FRF34,100.0
28169_AM,100.0
28165,100.0
36003,100.0
35031,100.0
35023,100.0
35013,100.0
34232_AM,100.0
34017_AM,100.0
33026_AM,100.0
28072,100.0
36049,100.0
36045,100.0
36042,100.0
36035,100.0
36030_AM,100.0
36018_AM,100.0
28093,100.0
28087,100.0
28125,100.0
28109,100.0
26084,100.0
26071_AM,100.0
26042_AM,100.0
26011,100.0
25243,100.0
25240_AM,100.0
25228,100.0
27057,100.0
27051,100.0
27031,100.0
37014_AM,100.0
36902_AM,100.0
36901,100.0
36054,100.0
36053,100.0
05014_AM,100.0
FRC24,100.0
25119_AM,100.0
25072,100.0
25058,100.0
25040,100.0
25021,100.0
25012,100.0
25011,100.0
05168_AM,100.0
27024_AM,100.0
27016,100.0
49261_AM,100.0
49065_AM,100.0
08198,100.0
08183,100.0
09048_AM,100.0
08904,100.0
10146_AM,100.0
48077_AM,100.0
48073,100.0
48065_AM,100.0
08155,100.0
08148,100.0
08136,100.0
22061,100.0
22059_AM,100.0
38039,100.0
38037,100.0
38036_AM,100.0
38024,100.0
24223,100.0
24163,100.0
24061_AM,100.0
24021_AM,100.0
20019,100.0
20016_AM,100.0
20013,100.0
20010_AM,100.0
20902,100.0
20080,100.0
20076,100.0
20075,100.0
20074,100.0
20072,100.0
20064,100.0
22254_AM,100.0
22137_AM,100.0
22117_AM,100.0
39012,100.0
39008,100.0
39001_AM,100.0
38051,100.0
38047,100.0
20061,100.0
20053,100.0
20051,100.0
20049,100.0
05242_AM,100.0
05241_AM,100.0
20032,100.0
08126,100.0
08120,100.0
50130_AM,100.0
50099,100.0
48029,100.0
10212_AM,100.0
48016,100.0
48003,100.0
48002,100.0
48001_AM,100.0
47217,100.0
47214_AM,100.0
39085,100.0
39080,100.0
39079,100.0
50298,100.0
39076,100.0
39074,100.0
39073,100.0
39055_AM,100.0
39037_AM,100.0
19326,100.0
39026_AM,100.0
39018,100.0
50223_AM,100.0
50160,100.0
50153_AM,100.0
43155,100.0
43145,100.0
43142_AM,100.0
43140,100.0
43100,100.0
43060_AM,100.0
40155,100.0
39095,100.0
17007_AM,100.0
07024,100.0
07020,100.0
07016,100.0
44014_AM,100.0
17223_AM,100.0
17221,100.0
17213,100.0
17186,100.0
17181,100.0
17180_AM,100.0
17169_AM,100.0
17164_AM,100.0
17160,100.0
50272,100.0
07037,100.0
15074,100.0
15073,100.0
15068,100.0
15067,100.0
15062,100.0
15060,100.0
16191_AM,100.0
16106_AM,100.0
16066,100.0
15902,100.0
17062,100.0
17013,100.0
08097_AM,100.0
08092,100.0
08159,100.0
47129_AM,100.0
47030_AM,100.0
12072_AM,100.0
46216,100.0
46212_AM,100.0
46199,100.0
12124,100.0
46179,100.0
46176,100.0
46136,100.0
15055,100.0
15046,100.0
15043,100.0
15042,100.0
15088,100.0
15085,100.0
07008,100.0
07052,100.0
07045_AM,100.0
08032,100.0
08030,100.0
08020,100.0
15015,100.0
15014,100.0
