origen,destino,tipo_dia,viajes
41091,41091,laborable,9110953.891
29067,29067,laborable,8627937.324
41091,41091,festivo,2864232.944
29067,29067,festivo,2688448.703
41038,41091,laborable,361221.775
41004,41091,laborable,261384.724
29901,29067,laborable,233602.658
29007,29067,laborable,230180.679
29082_AM,29067,laborable,161679.418
41081,41091,laborable,150472.835
41021,41091,laborable,148318.933
29025,29067,laborable,117000.973
41059,41091,laborable,102506.259
29038,29067,laborable,98336.66
41038,41091,festivo,92681.99
41093,41091,laborable,85040.03
29007,29067,festivo,81326.149
29901,29067,festivo,75084.407
41086,41091,laborable,70818.228
41004,41091,festivo,66368.731
29094,29067,laborable,64197.454
29054,29067,laborable,55667.559
29070,29067,laborable,53326.129
29082_AM,29067,festivo,47337.561
41021,41091,festivo,46416.704
41024,41091,laborable,45027.129
29069,29067,laborable,44876.706
41017,41091,laborable,43286.409
41007,41091,laborable,40049.819
41081,41091,festivo,39968.277
41029,41091,laborable,38925.914
41095,41091,laborable,38725.927
41034,41091,laborable,38525.418
41047,41091,laborable,32967.885
29025,29067,festivo,32898.956
29038,29067,festivo,32731.089
41044,41091,laborable,30236.464
41089,41091,laborable,29322.667
41059,41091,festivo,26607.741
41069,41091,laborable,26508.659
41058,41091,laborable,25140.341
41040,41091,laborable,23976.31
29008,29067,laborable,23742.488
41093,41091,festivo,23711.181
29094,29067,festivo,20243.263
41086,41091,festivo,20138.082
41005,41091,laborable,19921.669
29015_AM,29067,laborable,19809.857
41096,41091,laborable,19698.965
29042,29067,laborable,18280.676
29054,29067,festivo,18036.081
41049,41091,laborable,17754.133
41016,41091,laborable,16886.325
29011,29067,laborable,16745.736
29080,29067,laborable,15864.849
41102,41091,laborable,14773.035
29070,29067,festivo,14630.714
41070,41091,laborable,13866.165
41024,41091,festivo,13800.483
41018,41091,laborable,13362.783
29012,29067,laborable,12493.776
11020,41091,laborable,12431.621
41085,41091,laborable,12331.947
29039,29067,laborable,12301.748
21041,41091,laborable,12299.754
41087,41091,laborable,12064.414999999999
41017,41091,festivo,11731.719000000001
29069,29067,festivo,11634.36
41029,41091,festivo,11270.279
41011,41091,laborable,10696.018
41055,41091,laborable,10622.622
41095,41091,festivo,10327.905
41007,41091,festivo,10237.463
14021,41091,laborable,10064.82
29051,29067,laborable,10006.233
41079,41091,laborable,9843.401
41034,41091,festivo,9298.99
41094,41091,laborable,9214.298
41047,41091,festivo,8962.362
28079,41091,laborable,8802.249
41045,41091,laborable,8795.755
41044,41091,festivo,8577.503
41028,41091,laborable,8509.109
41067,41091,laborable,8445.62
41023,41091,laborable,8309.0
41019,41091,laborable,8246.329
41053,41091,laborable,7913.522
41065_AM,41091,laborable,7842.463
29015_AM,29067,festivo,7729.582
41010,41091,laborable,7618.455
29008,29067,festivo,7616.063
41089,41091,festivo,7470.33
41060,41091,laborable,7229.288
29075,29067,laborable,6990.695
41069,41091,festivo,6971.907
41015,41091,laborable,6939.158
41075,41091,laborable,6928.599
41098,41091,laborable,6864.76
41020,41091,laborable,6805.318
41092,41091,laborable,6485.855
29091,29067,laborable,6411.312
41058,41091,festivo,6400.217
18087,29067,laborable,6252.585
29011,29067,festivo,6197.21
41040,41091,festivo,6182.477
41101,41091,laborable,5923.54
29042,29067,festivo,5847.058
28079,29067,laborable,5642.268
41039,41091,laborable,5581.789
41049,41091,festivo,5460.376
41096,41091,festivo,5375.431
29080,29067,festivo,5192.683
